1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
1,1,1,0,d左上,d上,d上,d上,d上,d上,d下左,0,0,1,1,1
1,1,1,0,d上右,d下,d下,d下,d下,d下,d右下,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,d左上,d上,d上,d上,d上,d上,d上,d上,d下左,0,0,1,0
1,1,0,d上右,d下,d下,d下,d下,d下,d下,d下,d右下,0,0,1,0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1
